protocol,run,nGcs,nUavs,nNodes,simTime,areaSize,txRange,nodeSpeed,nodeMinSpeed,fixedNodeSpeed,nodePause,uavMinAltitude,uavMaxAltitude,txPowerDbm,rxSensitivityDbm,appStart,appStop,remoteIdEnabled,telemetry_flowCount,telemetry_successfulFlows,telemetry_txPackets,telemetry_rxPackets,telemetry_pdr,telemetry_loss,telemetry_delayMs,telemetry_throughputKbps,telemetry_offeredLoadKbps,c2Control_flowCount,c2Control_successfulFlows,c2Control_txPackets,c2Control_rxPackets,c2Control_pdr,c2Control_loss,c2Control_delayMs,c2Control_throughputKbps,c2Control_offeredLoadKbps,c2Command_flowCount,c2Command_successfulFlows,c2Command_txPackets,c2Command_rxPackets,c2Command_pdr,c2Command_loss,c2Command_delayMs,c2Command_throughputKbps,c2Command_offeredLoadKbps,totalC2_flowCount,totalC2_successfulFlows,totalC2_txPackets,totalC2_rxPackets,totalC2_pdr,totalC2_loss,totalC2_delayMs,totalC2_throughputKbps,totalC2_offeredLoadKbps,video_flowCount,video_successfulFlows,video_txPackets,video_rxPackets,video_pdr,video_loss,video_delayMs,video_throughputKbps,video_offeredLoadKbps,routing_flowEntries,routing_activeEntries,routing_txPackets,routing_rxPackets,routing_txBytes,routing_rxBytes,routing_offeredLoadKbps,routingBytesPerDeliveredAppByte,routingPacketsPerDeliveredAppPacket,remoteId_txPackets,remoteId_rxCopies,remoteId_txBytes,remoteId_rxBytes,remoteId_avgReceivers,remoteId_receptionRatio,remoteId_offeredLoadKbps,remoteId_receivedCopyLoadKbps
AODV_ETX,3,1,5,6,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,5,5,1744,1216,69.724771,30.275229,308.605476,21.679543,31.093029,5,5,6885,4581,66.535948,33.464052,42.194677,48.165943,72.390857,5,4,187,117,62.566845,37.433155,0.156556,2.085943,3.333943,10,9,7072,4698,66.430995,33.569005,41.147751,50.251886,75.724800,5,5,412,321,77.912621,22.087379,366.840813,38.593371,49.534171,18,17,50,49,2298,2246,0.262629,0.002376,0.008019,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV_ETX,4,1,5,6,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,5,5,1744,927,53.153670,46.846330,803.445510,16.527086,31.093029,5,5,6885,3216,46.710240,53.289760,79.075481,33.813943,72.390857,5,4,253,117,46.245059,53.754941,0.139760,2.085943,4.510629,10,9,7138,3333,46.693752,53.306248,76.304560,35.899886,76.901486,5,5,439,310,70.615034,29.384966,1046.567489,37.270857,52.780343,17,16,37,36,1716,1664,0.196114,0.002186,0.008096,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV_ETX,5,1,5,6,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,5,5,1744,1323,75.860092,24.139908,68.815551,23.587200,31.093029,5,5,6885,3846,55.860566,44.139434,144.028651,40.437943,72.390857,5,5,181,108,59.668508,40.331492,0.328421,1.925486,3.226971,10,10,7066,3954,55.958109,44.041891,140.103607,42.363429,75.617829,5,5,310,220,70.967742,29.032258,57.166513,26.450286,37.270857,19,18,74,69,3382,3214,0.386514,0.004183,0.013462,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV_ETX,1,1,8,9,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,8,8,2788,2142,76.829268,23.170732,131.031377,38.188800,49.706057,8,8,11004,8642,78.535078,21.464922,13.663989,90.864457,115.699200,8,8,367,252,68.664850,31.335150,0.296579,4.492800,6.543086,16,16,11371,8894,78.216516,21.783484,13.285241,95.357257,122.242286,8,8,550,394,71.636364,28.363636,5.061843,47.370057,66.125714,49,45,293,238,13836,11152,1.581257,0.008740,0.025634,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV_ETX,2,1,8,9,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,8,8,2788,2218,79.555237,20.444763,26.636123,39.543771,49.706057,8,8,11004,8954,81.370411,18.629589,14.646226,94.144914,115.699200,8,8,346,293,84.682081,15.317919,17.450686,5.223771,6.168686,16,16,11350,9247,81.471366,18.528634,14.735088,99.368686,121.867886,8,8,410,335,81.707317,18.292683,0.661639,40.276571,49.293714,58,56,368,349,17400,16448,1.988571,0.011098,0.031186,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV_ETX,3,1,8,9,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,8,8,2788,2245,80.523673,19.476327,7.356042,40.025143,49.706057,8,8,11004,9223,83.814976,16.185024,14.457308,96.973257,115.699200,8,8,417,374,89.688249,10.311751,0.398213,6.667886,7.434514,16,16,11421,9597,84.029419,15.970581,13.909417,103.641143,123.133714,8,8,515,397,77.087379,22.912621,1.301953,47.730743,61.917714,51,50,342,322,15868,14812,1.813486,0.009475,0.027943,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV_ETX,4,1,8,9,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,8,8,2788,2087,74.856528,25.143472,229.174765,37.208229,49.706057,8,8,11004,9328,84.769175,15.230825,15.552668,98.077257,115.699200,8,8,307,236,76.872964,23.127036,0.873289,4.207543,5.473371,16,16,11311,9564,84.554858,15.445142,15.190442,102.284800,121.172571,8,8,484,385,79.545455,20.454545,502.212190,46.288000,58.190629,56,55,368,341,17684,16302,2.021029,0.010879,0.030575,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV_ETX,5,1,8,9,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,8,8,2788,2044,73.314204,26.685796,100.428120,36.441600,49.706057,8,8,11004,8289,75.327154,24.672846,18.775758,87.152914,115.699200,8,8,442,351,79.411765,20.588235,0.312050,6.257829,7.880229,16,16,11446,8640,75.484886,24.515114,18.025670,93.410743,123.579429,8,8,623,475,76.243981,23.756019,320.686548,57.108571,74.902400,51,51,541,532,23990,23562,2.741714,0.014665,0.048481,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV_ETX,1,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,3482,2614,75.071798,24.928202,18.421530,46.603886,62.079086,10,10,13745,10318,75.067297,24.932703,3.721732,108.486400,144.518857,10,9,374,302,80.748663,19.251337,0.346456,5.384229,6.667886,20,19,14119,10620,75.217792,24.782208,3.625750,113.870629,151.186743,10,9,805,622,77.267081,22.732919,1.700369,74.782171,96.784000,78,74,512,496,24280,23480,2.774857,0.011795,0.036952,0,0,0,0,0.000000,0.000000,0.000000,0.000000
AODV_ETX,2,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,3482,3107,89.230327,10.769673,8.932555,55.393371,62.079086,10,10,13745,12988,94.492543,5.507457,4.360616,136.559543,144.518857,10,10,416,394,94.711538,5.288462,0.714495,7.024457,7.416686,20,20,14161,13382,94.498976,5.501024,4.253265,143.584000,151.935543,10,10,858,747,87.062937,12.937063,9.226554,89.810743,103.156114,97,94,1166,1127,55752,53792,6.371657,0.022063,0.067649,0,0,0,0,0.000000,0.000000,0.000000,0.000000
