protocol,nUavs,telemetry_pdr_mean,telemetry_pdr_std,telemetry_pdr_count,telemetry_delayMs_mean,telemetry_delayMs_std,telemetry_delayMs_count,telemetry_throughputKbps_mean,telemetry_throughputKbps_std,telemetry_throughputKbps_count,totalC2_pdr_mean,totalC2_pdr_std,totalC2_pdr_count,totalC2_delayMs_mean,totalC2_delayMs_std,totalC2_delayMs_count,totalC2_throughputKbps_mean,totalC2_throughputKbps_std,totalC2_throughputKbps_count,c2Control_pdr_mean,c2Control_pdr_std,c2Control_pdr_count,c2Control_delayMs_mean,c2Control_delayMs_std,c2Control_delayMs_count,c2Command_pdr_mean,c2Command_pdr_std,c2Command_pdr_count,c2Command_delayMs_mean,c2Command_delayMs_std,c2Command_delayMs_count,video_pdr_mean,video_pdr_std,video_pdr_count,video_delayMs_mean,video_delayMs_std,video_delayMs_count,video_throughputKbps_mean,video_throughputKbps_std,video_throughputKbps_count,routing_txPackets_mean,routing_txPackets_std,routing_txPackets_count,routing_txBytes_mean,routing_txBytes_std,routing_txBytes_count,routing_offeredLoadKbps_mean,routing_offeredLoadKbps_std,routing_offeredLoadKbps_count,routingBytesPerDeliveredAppByte_mean,routingBytesPerDeliveredAppByte_std,routingBytesPerDeliveredAppByte_count,routingPacketsPerDeliveredAppPacket_mean,routingPacketsPerDeliveredAppPacket_std,routingPacketsPerDeliveredAppPacket_count,remoteId_receptionRatio_mean,remoteId_receptionRatio_std,remoteId_receptionRatio_count,remoteId_avgReceivers_mean,remoteId_avgReceivers_std,remoteId_avgReceivers_count
AODV,5,16.1238533,13.974047054191852,10,971.9867835000001,1380.0533473639646,10,5.0133943,4.344954533492639,10,14.296092299999998,13.46228982410006,10,13.775309799999999,16.475657642392324,10,10.8783087,10.161211657183662,10,14.300653699999998,13.49596969298609,10,13.950315699999999,17.417014785541504,10,13.8440045,12.601682407580675,10,14.1046528,38.659802831400086,10,14.9102474,16.026816684810342,10,44.900285600000004,71.33397674026997,10,34.1809829,33.31983024206724,10,19.1,21.799337400735624,10,862.0,997.1073719069132,10,0.09851410000000001,0.11395524146635624,10,0.0017458999999999999,0.0017614440698220056,10,0.009178700000000001,0.007903024133555177,10,0.0,0.0,10,0.0,0.0,10
AODV,10,42.2889143,18.236905599665654,10,291.5041791,205.81153365956268,10,26.2525713,11.321304211261104,10,35.2889239,15.80597278315118,10,68.6087527,36.4837903026234,10,54.098925699999995,24.32357167017372,10,35.2157147,15.785293074048528,10,68.7788628,35.81811042841041,10,37.7229375,17.604201553731585,10,61.477709000000004,97.68754596214502,10,43.2499891,18.701676696565634,10,289.9635545,280.19131435714564,10,193.1111315,83.2728811774358,10,2229.0,1510.8171446089843,10,102174.0,69538.95535597295,10,11.6770285,7.947309091200524,10,0.0400014,0.01691341977510429,10,0.2604453,0.11281007171057221,10,0.0,0.0,10,0.0,0.0,10
AODV,15,51.7011889,22.027820609436198,10,210.5387607,182.97775766989028,10,48.06048,20.47665928279418,10,33.451886200000004,14.184756520028225,10,69.1647071,11.120386085515754,10,76.48068570000001,32.658972867178235,10,33.5223518,14.138553946760387,10,69.6254141,11.335163876094322,10,31.311764599999997,15.876487372826979,10,53.0164039,18.877722959929912,10,45.8209677,23.34488601584527,10,172.4893574,194.48074024740143,10,319.808,168.3499494706213,10,9161.2,3939.1821147712035,10,425406.0,182723.13612068337,10,48.617828599999996,20.882643907920226,10,0.1221042,0.045124037476468995,10,0.7461472,0.14842481025444051,10,0.0,0.0,10,0.0,0.0,10
AODV,20,59.8328531,5.492332389134884,10,166.8857055,122.7852771262368,10,74.03135990000001,6.795678232578104,10,35.479936099999996,7.128871534457601,10,79.5203676,17.135669512432045,10,107.7512687,21.757862607194646,10,35.5538517,7.09126157531888,10,79.5291723,16.626230413125885,10,33.4530537,9.320081996745092,10,78.7894645,33.5865600713078,10,52.6659946,3.722141523583082,10,136.52853420000002,69.02444344568215,10,466.34258280000006,44.42502384685687,10,27279.3,5449.041547730104,10,1272528.4,253963.8738522557,10,145.4318172,29.024442914574607,10,0.22455100000000003,0.04302021196032293,10,1.510476,0.2559272577246207,10,0.0,0.0,10,0.0,0.0,10
AODV,25,48.9848712,4.987627043553047,10,154.60887780000002,66.56169220275429,10,75.6216685,7.699779204320552,10,28.9195851,6.664349893303064,10,102.3385323,24.23688588757565,10,109.6047543,25.24986611650676,10,28.9910753,6.683246586677717,10,102.02492409999999,24.338668028583754,10,26.7535862,6.71637716011096,10,112.1837823,28.752014869782368,10,41.243201299999996,3.566724617621141,10,152.57982810000001,39.27902744715817,10,445.9037257,44.02131178704359,10,51073.6,8791.767224701376,10,2389917.8,411529.86322361155,10,273.1334629,47.03198430959113,10,0.4312674,0.056299132946155475,10,2.8095296999999997,0.26644158961687403,10,0.0,0.0,10,0.0,0.0,10
AODV,30,41.1097185,4.5800862826863185,10,128.0526061,14.124750371944318,10,76.0192457,8.46940120693009,10,23.6124631,6.778111821217723,10,105.2247007,24.83140035690604,10,107.18724569999999,30.869330112858744,10,23.6741175,6.7745985940595315,10,105.1065184,25.067927863386764,10,21.7828035,7.104872454936248,10,110.28606649999999,38.45336465909286,10,33.2123661,4.3448573975041,10,164.887347,27.864483747709862,10,418.3954286,77.66147392705142,10,77151.5,9584.244330613075,10,3622019.0,448877.7724674428,10,413.9450286,51.30031687413568,10,0.7029008,0.12109071894226889,10,4.4830493,0.9077420789960172,10,0.0,0.0,10,0.0,0.0,10
