protocol,run,nGcs,nUavs,nNodes,simTime,areaSize,txRange,nodeSpeed,nodeMinSpeed,fixedNodeSpeed,nodePause,mobilityModel,randomWalkTime,gaussMarkovAlpha,gaussMarkovTimeStep,groupRadius,uavMinAltitude,uavMaxAltitude,txPowerDbm,rxSensitivityDbm,appStart,appStop,remoteIdEnabled,telemetry_flowCount,telemetry_successfulFlows,telemetry_txPackets,telemetry_rxPackets,telemetry_pdr,telemetry_loss,telemetry_delayMs,telemetry_throughputKbps,telemetry_offeredLoadKbps,c2Control_flowCount,c2Control_successfulFlows,c2Control_txPackets,c2Control_rxPackets,c2Control_pdr,c2Control_loss,c2Control_delayMs,c2Control_throughputKbps,c2Control_offeredLoadKbps,c2Command_flowCount,c2Command_successfulFlows,c2Command_txPackets,c2Command_rxPackets,c2Command_pdr,c2Command_loss,c2Command_delayMs,c2Command_throughputKbps,c2Command_offeredLoadKbps,totalC2_flowCount,totalC2_successfulFlows,totalC2_txPackets,totalC2_rxPackets,totalC2_pdr,totalC2_loss,totalC2_delayMs,totalC2_throughputKbps,totalC2_offeredLoadKbps,video_flowCount,video_successfulFlows,video_txPackets,video_rxPackets,video_pdr,video_loss,video_delayMs,video_throughputKbps,video_offeredLoadKbps,routing_flowEntries,routing_activeEntries,routing_txPackets,routing_rxPackets,routing_txBytes,routing_rxBytes,routing_offeredLoadKbps,routingBytesPerDeliveredAppByte,routingPacketsPerDeliveredAppPacket,remoteId_txPackets,remoteId_rxCopies,remoteId_txBytes,remoteId_rxBytes,remoteId_avgReceivers,remoteId_receptionRatio,remoteId_offeredLoadKbps,remoteId_receivedCopyLoadKbps
OLSR,1,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWP,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,2779,2099,75.530766,24.469234,3.235152,37.422171,49.545600,10,10,10526,8055,76.524796,23.475204,4.716193,84.692571,110.673371,9,9,313,230,73.482428,26.517572,2.037638,4.100571,5.580343,19,19,10839,8285,76.436941,23.563059,4.641834,88.793143,116.253714,10,9,676,528,78.106509,21.893491,0.840565,63.480686,81.274514,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
OLSR,2,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWP,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,3377,2631,77.909387,22.090613,7.524576,46.906971,60.207086,10,10,13174,10227,77.630181,22.369819,7.539700,107.529600,138.515200,10,10,392,299,76.275510,23.724490,4.286768,5.330743,6.988800,20,20,13566,10526,77.591036,22.408964,7.447298,112.860343,145.504000,10,10,817,679,83.108935,16.891065,1.026337,81.635200,98.226743,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
OLSR,3,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWP,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,3186,2742,86.064030,13.935970,2.883794,48.885943,56.801829,10,10,12447,10289,82.662489,17.337511,5.941891,108.181486,130.871314,10,10,407,344,84.520885,15.479115,3.385109,6.133029,7.256229,20,20,12854,10633,82.721332,17.278668,5.859173,114.314514,138.127543,10,10,651,557,85.560676,14.439324,1.337707,66.967314,78.268800,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
OLSR,4,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWP,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,2391,1793,74.989544,25.010456,7.347369,31.966629,42.628114,10,10,9005,6995,77.679067,22.320933,4.415115,73.547429,94.681143,10,10,300,229,76.333333,23.666667,0.425577,4.082743,5.348571,20,20,9305,7224,77.635680,22.364320,4.288647,77.630171,100.029714,10,10,446,342,76.681614,23.318386,12.286747,41.118171,53.621943,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
OLSR,5,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWP,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,10,10,3280,2572,78.414634,21.585366,1.779443,45.855086,58.477714,10,10,13231,10089,76.252740,23.747260,6.244095,106.078629,139.114514,10,10,425,302,71.058824,28.941176,5.150855,5.384229,7.577143,20,20,13656,10391,76.091095,23.908905,6.212321,111.462857,146.691657,10,10,557,479,85.996409,14.003591,1.064394,57.589486,66.967314,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
OLSR,1,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWALK2D,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,3,3,177,61,34.463277,65.536723,40.439066,1.087543,3.155657,3,3,723,298,41.217151,58.782849,2.789432,3.133257,7.601829,2,1,24,6,25.000000,75.000000,0.122960,0.106971,0.427886,5,4,747,304,40.696118,59.303882,2.736805,3.240229,8.029714,2,2,75,37,49.333333,50.666667,0.532561,4.448457,9.017143,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
OLSR,2,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWALK2D,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,6,6,963,773,80.269990,19.730010,1.855659,13.781486,17.168914,6,6,3889,3050,78.426331,21.573669,2.033809,32.068571,40.890057,6,6,172,156,90.697674,9.302326,0.392156,2.781257,3.066514,12,12,4061,3206,78.946072,21.053928,1.953928,34.849829,43.956571,6,6,254,202,79.527559,20.472441,1.191456,24.286171,30.538057,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
OLSR,3,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWALK2D,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,5,5,1603,1079,67.311291,32.688709,12.183513,19.237029,28.579200,5,5,6710,4950,73.770492,26.229508,3.743173,52.045714,70.550857,5,5,166,136,81.927711,18.072289,0.346000,2.424686,2.959543,10,10,6876,5086,73.967423,26.032577,3.652332,54.470400,73.510400,5,5,372,240,64.516129,35.483871,1.756048,28.854857,44.725029,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
OLSR,4,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWALK2D,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,8,8,2366,2027,85.672020,14.327980,2.847924,36.138514,42.182400,8,8,9498,8150,85.807538,14.192462,2.413221,85.691429,99.864686,8,8,340,290,85.294118,14.705882,0.732785,5.170286,6.061714,16,16,9838,8440,85.789795,14.210205,2.355481,90.861714,105.926400,8,8,656,608,92.682927,7.317073,0.990245,73.098971,78.869943,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
OLSR,5,1,10,11,100.000000,1000.000000,300.000000,20.000000,10.000000,0,2.000000,RWALK2D,1.000000,0.850000,1.000000,50.000000,20.000000,120.000000,20.000000,-85.000000,20.000000,90.000000,0,9,8,2373,1777,74.884113,25.115887,0.817588,31.681371,42.307200,10,9,9658,8914,92.296542,7.703458,1.513207,93.724343,101.546971,9,9,347,330,95.100865,4.899135,0.260579,5.883429,6.186514,19,18,10005,9244,92.393803,7.606197,1.468489,99.607771,107.733486,9,7,449,321,71.492205,28.507795,0.647885,38.593371,53.982629,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000
